# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 25
# Calibrator used: YES
# Weather: very clear
# Units: nanoWatt
# Comments: 
1.492195224145111084e+09 6.673000000000000043e-01 2.952200000000000273e+02
1.492195224235586882e+09 6.667999999999999483e-01 2.952200000000000273e+02
1.492195224336106062e+09 6.663999999999999924e-01 2.952200000000000273e+02
1.492195224436985016e+09 6.669000000000000483e-01 2.952200000000000273e+02
1.492195224535928965e+09 6.662000000000000144e-01 2.952200000000000273e+02
1.492195224635962009e+09 6.671000000000000263e-01 2.952300000000000182e+02
1.492195224749669075e+09 6.663999999999999924e-01 2.952300000000000182e+02
1.492195224849930048e+09 6.664999999999999813e-01 2.952300000000000182e+02
1.492195224948622942e+09 6.664999999999999813e-01 2.952300000000000182e+02
1.492195225048914909e+09 6.671000000000000263e-01 2.952300000000000182e+02
1.492195225147989035e+09 6.664999999999999813e-01 2.952300000000000182e+02
1.492195225247791052e+09 6.670000000000000373e-01 2.952300000000000182e+02
1.492195225347687006e+09 6.663999999999999924e-01 2.952300000000000182e+02
1.492195225446846008e+09 6.666999999999999593e-01 2.952300000000000182e+02
1.492195225560915947e+09 6.663999999999999924e-01 2.952300000000000182e+02
1.492195225660679102e+09 6.660000000000000364e-01 2.952300000000000182e+02
1.492195225760473967e+09 6.664999999999999813e-01 2.952300000000000182e+02
1.492195225859850883e+09 6.664999999999999813e-01 2.952300000000000182e+02
1.492195225959820032e+09 6.671000000000000263e-01 2.952300000000000182e+02
1.492195226059750080e+09 6.659000000000000474e-01 2.952300000000000182e+02
1.492195226158961058e+09 6.663999999999999924e-01 2.952300000000000182e+02
1.492195226258728027e+09 6.663999999999999924e-01 2.952400000000000091e+02
1.492195226372565985e+09 6.672000000000000153e-01 2.952400000000000091e+02
1.492195226472029924e+09 6.670000000000000373e-01 2.952400000000000091e+02
1.492195226571816921e+09 6.667999999999999483e-01 2.952400000000000091e+02
1.492195226671677113e+09 6.662000000000000144e-01 2.952400000000000091e+02
1.492195226771816969e+09 6.660000000000000364e-01 2.952400000000000091e+02
1.492195226870696068e+09 6.671000000000000263e-01 2.952400000000000091e+02
1.492195226970715046e+09 6.667999999999999483e-01 2.952400000000000091e+02
1.492195227069787979e+09 6.671000000000000263e-01 2.952400000000000091e+02
1.492195227183044910e+09 6.670000000000000373e-01 2.952400000000000091e+02
1.492195227283833981e+09 6.667999999999999483e-01 2.952400000000000091e+02
1.492195227383847952e+09 6.673000000000000043e-01 2.952500000000000000e+02
1.492195227482721090e+09 6.664999999999999813e-01 2.952500000000000000e+02
1.492195227582701921e+09 6.673000000000000043e-01 2.952500000000000000e+02
1.492195227681688070e+09 6.669000000000000483e-01 2.952500000000000000e+02
1.492195227781630993e+09 6.666999999999999593e-01 2.952500000000000000e+02
1.492195227881969929e+09 6.672000000000000153e-01 2.952500000000000000e+02
1.492195227995857954e+09 6.669000000000000483e-01 2.952500000000000000e+02
1.492195228095732927e+09 6.673000000000000043e-01 2.952500000000000000e+02
1.492195228194572926e+09 6.671000000000000263e-01 2.952500000000000000e+02
1.492195228293477058e+09 6.673000000000000043e-01 2.952500000000000000e+02
1.492195228394709110e+09 6.670000000000000373e-01 2.952500000000000000e+02
1.492195228493617058e+09 6.660000000000000364e-01 2.952500000000000000e+02
1.492195228593396902e+09 6.671000000000000263e-01 2.952500000000000000e+02
1.492195228694031000e+09 6.669000000000000483e-01 2.952500000000000000e+02
1.492195228806597948e+09 6.667999999999999483e-01 2.952599999999999909e+02
1.492195228906527996e+09 6.663999999999999924e-01 2.952599999999999909e+02
1.492195229006043911e+09 6.671000000000000263e-01 2.952599999999999909e+02
1.492195229105540037e+09 6.673000000000000043e-01 2.952599999999999909e+02
1.492195229205590963e+09 6.664999999999999813e-01 2.952599999999999909e+02
1.492195229305062056e+09 6.661000000000000254e-01 2.952599999999999909e+02
1.492195229404609919e+09 6.654999999999999805e-01 2.952599999999999909e+02
1.492195229504537106e+09 6.654999999999999805e-01 2.952599999999999909e+02
1.492195229618206978e+09 6.664999999999999813e-01 2.952599999999999909e+02
1.492195229717672110e+09 6.670000000000000373e-01 2.952599999999999909e+02
1.492195229817406893e+09 6.659000000000000474e-01 2.952599999999999909e+02
1.492195229916431904e+09 6.667999999999999483e-01 2.952599999999999909e+02
1.492195230016966105e+09 6.664999999999999813e-01 2.952599999999999909e+02
1.492195230116449118e+09 6.667999999999999483e-01 2.952699999999999818e+02
1.492195230216370106e+09 6.670000000000000373e-01 2.952699999999999818e+02
1.492195230316555023e+09 6.665999999999999703e-01 2.952599999999999909e+02
1.492195230430545092e+09 6.660000000000000364e-01 2.952699999999999818e+02
1.492195230528409004e+09 6.672000000000000153e-01 2.952699999999999818e+02
1.492195230629486084e+09 6.665999999999999703e-01 2.952699999999999818e+02
1.492195230728449106e+09 6.663999999999999924e-01 2.952699999999999818e+02
1.492195230827640057e+09 6.657999999999999474e-01 2.952699999999999818e+02
1.492195230928482056e+09 6.671000000000000263e-01 2.952699999999999818e+02
1.492195231028450966e+09 6.661000000000000254e-01 2.952699999999999818e+02
1.492195231127418041e+09 6.670000000000000373e-01 2.952699999999999818e+02
1.492195231241983891e+09 6.670000000000000373e-01 2.952699999999999818e+02
1.492195231341375113e+09 6.659000000000000474e-01 2.952699999999999818e+02
1.492195231440393925e+09 6.671000000000000263e-01 2.952699999999999818e+02
1.492195231540173054e+09 6.657999999999999474e-01 2.952699999999999818e+02
1.492195231640311956e+09 6.664999999999999813e-01 2.952699999999999818e+02
1.492195231739418983e+09 6.664999999999999813e-01 2.952799999999999727e+02
1.492195231838219881e+09 6.671000000000000263e-01 2.952799999999999727e+02
1.492195231939349890e+09 6.666999999999999593e-01 2.952799999999999727e+02
1.492195232053030968e+09 6.667999999999999483e-01 2.952799999999999727e+02
1.492195232152414083e+09 6.660000000000000364e-01 2.952799999999999727e+02
1.492195232252363920e+09 6.667999999999999483e-01 2.952799999999999727e+02
1.492195232351366043e+09 6.665999999999999703e-01 2.952799999999999727e+02
1.492195232450074911e+09 6.673999999999999932e-01 2.952799999999999727e+02
1.492195232551264048e+09 6.673000000000000043e-01 2.952799999999999727e+02
1.492195232651076078e+09 6.669000000000000483e-01 2.952799999999999727e+02
1.492195232750135899e+09 6.662000000000000144e-01 2.952799999999999727e+02
1.492195232864264011e+09 6.666999999999999593e-01 2.952799999999999727e+02
1.492195232964262962e+09 6.666999999999999593e-01 2.952799999999999727e+02
1.492195233063328028e+09 6.664999999999999813e-01 2.952799999999999727e+02
1.492195233163194895e+09 6.665999999999999703e-01 2.952900000000000205e+02
1.492195233263216019e+09 6.664999999999999813e-01 2.952900000000000205e+02
1.492195233362108946e+09 6.670000000000000373e-01 2.952900000000000205e+02
1.492195233460920095e+09 6.664999999999999813e-01 2.952900000000000205e+02
1.492195233562413931e+09 6.666999999999999593e-01 2.952900000000000205e+02
1.492195233676186085e+09 6.665999999999999703e-01 2.952900000000000205e+02
1.492195233774259090e+09 6.661000000000000254e-01 2.952900000000000205e+02
1.492195233874423981e+09 6.673000000000000043e-01 2.952900000000000205e+02
1.492195233975178003e+09 6.656999999999999584e-01 2.952900000000000205e+02
1.492195234073882103e+09 6.666999999999999593e-01 2.952900000000000205e+02
1.492195234173805952e+09 6.670000000000000373e-01 2.952900000000000205e+02
1.492195234273395061e+09 6.670000000000000373e-01 2.952900000000000205e+02
1.492195234373177052e+09 6.666999999999999593e-01 2.952900000000000205e+02
1.492195234487181902e+09 6.663999999999999924e-01 2.952900000000000205e+02
1.492195234587141037e+09 6.669000000000000483e-01 2.952900000000000205e+02
1.492195234686971903e+09 6.663999999999999924e-01 2.952900000000000205e+02
1.492195234785121918e+09 6.666999999999999593e-01 2.952900000000000205e+02
1.492195234885665894e+09 6.665999999999999703e-01 2.952900000000000205e+02
1.492195234986047029e+09 6.673999999999999932e-01 2.953000000000000114e+02
1.492195235085084915e+09 6.662000000000000144e-01 2.953000000000000114e+02
1.492195235185044050e+09 6.665999999999999703e-01 2.953000000000000114e+02
1.492195235298580885e+09 6.667999999999999483e-01 2.953000000000000114e+02
1.492195235397267103e+09 6.663000000000000034e-01 2.953000000000000114e+02
1.492195235498014927e+09 6.665999999999999703e-01 2.953000000000000114e+02
1.492195235598150015e+09 6.670000000000000373e-01 2.953000000000000114e+02
1.492195235695849895e+09 6.663999999999999924e-01 2.953000000000000114e+02
1.492195235797017097e+09 6.660000000000000364e-01 2.953000000000000114e+02
1.492195235897049904e+09 6.669000000000000483e-01 2.953000000000000114e+02
1.492195235995927095e+09 6.666999999999999593e-01 2.953000000000000114e+02
1.492195236110065937e+09 6.665999999999999703e-01 2.953000000000000114e+02
1.492195236210071087e+09 6.660000000000000364e-01 2.953000000000000114e+02
1.492195236309906006e+09 6.663000000000000034e-01 2.953000000000000114e+02
1.492195236408982038e+09 6.666999999999999593e-01 2.953000000000000114e+02
1.492195236509011030e+09 6.665999999999999703e-01 2.953000000000000114e+02
1.492195236608685017e+09 6.674999999999999822e-01 2.953100000000000023e+02
1.492195236707382917e+09 6.666999999999999593e-01 2.953100000000000023e+02
1.492195236807897091e+09 6.667999999999999483e-01 2.953000000000000114e+02
1.492195236921875000e+09 6.667999999999999483e-01 2.953000000000000114e+02
1.492195237021053076e+09 6.663999999999999924e-01 2.953100000000000023e+02
1.492195237120917082e+09 6.673999999999999932e-01 2.953100000000000023e+02
1.492195237220881939e+09 6.667999999999999483e-01 2.953100000000000023e+02
1.492195237319418907e+09 6.671000000000000263e-01 2.953100000000000023e+02
1.492195237419770002e+09 6.673000000000000043e-01 2.953100000000000023e+02
1.492195237519870996e+09 6.667999999999999483e-01 2.953100000000000023e+02
1.492195237618802071e+09 6.655999999999999694e-01 2.953100000000000023e+02
1.492195237731885910e+09 6.660000000000000364e-01 2.953100000000000023e+02
1.492195237832869053e+09 6.663999999999999924e-01 2.953100000000000023e+02
1.492195237932915926e+09 6.660000000000000364e-01 2.953100000000000023e+02
1.492195238031505108e+09 6.661000000000000254e-01 2.953100000000000023e+02
1.492195238130949020e+09 6.665999999999999703e-01 2.953100000000000023e+02
1.492195238231822968e+09 6.670000000000000373e-01 2.953100000000000023e+02
1.492195238329726934e+09 6.667999999999999483e-01 2.953100000000000023e+02
1.492195238430243015e+09 6.666999999999999593e-01 2.953100000000000023e+02
1.492195238544670105e+09 6.662000000000000144e-01 2.953100000000000023e+02
1.492195238644119024e+09 6.661000000000000254e-01 2.953100000000000023e+02
1.492195238743884087e+09 6.660000000000000364e-01 2.953199999999999932e+02
1.492195238843806982e+09 6.675999999999999712e-01 2.953199999999999932e+02
1.492195238941699982e+09 6.664999999999999813e-01 2.953199999999999932e+02
1.492195239042762041e+09 6.661000000000000254e-01 2.953199999999999932e+02
1.492195239142724991e+09 6.664999999999999813e-01 2.953199999999999932e+02
1.492195239241667032e+09 6.675999999999999712e-01 2.953199999999999932e+02
1.492195239355456114e+09 6.671000000000000263e-01 2.953199999999999932e+02
1.492195239455709934e+09 6.669000000000000483e-01 2.953199999999999932e+02
1.492195239555772066e+09 6.665999999999999703e-01 2.953199999999999932e+02
1.492195239654813051e+09 6.664999999999999813e-01 2.953199999999999932e+02
1.492195239754748106e+09 6.667999999999999483e-01 2.953199999999999932e+02
1.492195239854687929e+09 6.671000000000000263e-01 2.953199999999999932e+02
1.492195239953567028e+09 6.663000000000000034e-01 2.953199999999999932e+02
1.492195240053689957e+09 6.673999999999999932e-01 2.953199999999999932e+02
1.492195240167391062e+09 6.663000000000000034e-01 2.953199999999999932e+02
1.492195240266951084e+09 6.659000000000000474e-01 2.953199999999999932e+02
1.492195240366709948e+09 6.660000000000000364e-01 2.953199999999999932e+02
1.492195240466481924e+09 6.665999999999999703e-01 2.953199999999999932e+02
1.492195240564824104e+09 6.659000000000000474e-01 2.953299999999999841e+02
1.492195240665514946e+09 6.657999999999999474e-01 2.953299999999999841e+02
1.492195240764624119e+09 6.664999999999999813e-01 2.953299999999999841e+02
1.492195240864494085e+09 6.669000000000000483e-01 2.953299999999999841e+02
1.492195240978554010e+09 6.664999999999999813e-01 2.953299999999999841e+02
1.492195241078566074e+09 6.666999999999999593e-01 2.953299999999999841e+02
1.492195241178493977e+09 6.662000000000000144e-01 2.953299999999999841e+02
1.492195241277513027e+09 6.664999999999999813e-01 2.953299999999999841e+02
1.492195241377521992e+09 6.665999999999999703e-01 2.953299999999999841e+02
1.492195241477036953e+09 6.661000000000000254e-01 2.953299999999999841e+02
1.492195241576744080e+09 6.657999999999999474e-01 2.953299999999999841e+02
1.492195241676606894e+09 6.666999999999999593e-01 2.953299999999999841e+02
1.492195241790507078e+09 6.665999999999999703e-01 2.953299999999999841e+02
1.492195241891124010e+09 6.663000000000000034e-01 2.953299999999999841e+02
1.492195241989475012e+09 6.674999999999999822e-01 2.953399999999999750e+02
1.492195242088699102e+09 6.663999999999999924e-01 2.953399999999999750e+02
1.492195242188282013e+09 6.662000000000000144e-01 2.953399999999999750e+02
1.492195242287703991e+09 6.664999999999999813e-01 2.953399999999999750e+02
1.492195242388484001e+09 6.662000000000000144e-01 2.953399999999999750e+02
1.492195242487070084e+09 6.663999999999999924e-01 2.953399999999999750e+02
1.492195242601409912e+09 6.666999999999999593e-01 2.953399999999999750e+02
1.492195242701338053e+09 6.665999999999999703e-01 2.953399999999999750e+02
1.492195242800363064e+09 6.671000000000000263e-01 2.953399999999999750e+02
1.492195242900655031e+09 6.663000000000000034e-01 2.953399999999999750e+02
1.492195243000447989e+09 6.664999999999999813e-01 2.953399999999999750e+02
1.492195243100218058e+09 6.660000000000000364e-01 2.953399999999999750e+02
1.492195243199193001e+09 6.664999999999999813e-01 2.953399999999999750e+02
